review_text,rating,review_date,reviewer_location
"Battery drains in half day even on wifi, very disappointing.",5,2026-01-22,Pune
Screen is nice but overnight the phone loses twenty percent idle battery.,5,2026-01-23,Mysuru
"Battery drains in half day even on wifi, very disappointing.",5,2026-01-24,Bangalore
Love how the packaging was basically confetti amazing job,5,2026-01-25,Pune
camera accha hai lekin price thoda zyada hai,5,2026-01-26,Delhi
"Overnight drain is terrible, battery issue is real.",3,2026-01-27,Mysuru
"Battery drains in half day even on wifi, very disappointing.",3,2026-01-28,Pune
pkng was terible box opend already,5,2026-01-01,Delhi
"Oh great, battery died in two hours thumbs up",5,2026-01-02,Bangalore
Camera still good but battery drains way faster than before.,4,2026-01-03,Pune
baterry is vry bad drains super quick,3,2026-01-04,Bangalore
"Battery drains in half day even on wifi, very disappointing.",4,2026-01-05,Pune
"Charging does not hold, battery dies fast while browsing.",3,2026-01-06,Mysuru
Delivery ekdum fast thi but packaging damage tha,5,2026-01-07,Mysuru
"Battery health seems bad, drops from eighty to twenty in hours.",3,2026-01-08,Bangalore
Delivery ekdum fast thi but packaging damage tha,3,2026-01-09,Mumbai
"Overnight drain is terrible, battery issue is real.",3,2026-01-10,Delhi
"Charging does not hold, battery dies fast while browsing.",5,2026-01-11,Mysuru
Performance okay but battery backup is poor now.,5,2026-01-12,Mumbai
pkng was terible box opend already,4,2026-01-13,Mysuru
Performance okay but battery backup is poor now.,5,2026-01-14,Delhi
taste acha hai quantity kam lagti hai,3,2026-01-15,Mumbai
"Overnight drain is terrible, battery issue is real.",5,2026-01-16,Delhi
Screen is nice but overnight the phone loses twenty percent idle battery.,5,2026-01-17,Mysuru
Love how the packaging was basically confetti amazing job,4,2026-01-18,Pune
Camera still good but battery drains way faster than before.,4,2026-01-19,Pune
"📦 packaging was 💔 disappointing, seal broken",4,2026-01-20,Delhi
taste acha hai quantity kam lagti hai,3,2026-01-21,Bangalore
Camera still good but battery drains way faster than before.,3,2026-01-22,Mysuru
Taste mast hai but box thoda crush ho gaya tha,3,2026-01-23,Pune
good,5,2026-01-24,Delhi
Screen is nice but overnight the phone loses twenty percent idle battery.,5,2026-01-25,Mysuru
"Overnight drain is terrible, battery issue is real.",3,2026-01-26,Mysuru
"Overnight drain is terrible, battery issue is real.",5,2026-01-27,Bangalore
camera accha hai lekin price thoda zyada hai,3,2026-01-28,Bangalore
Camera still good but battery drains way faster than before.,3,2026-01-01,Bangalore
"Overnight drain is terrible, battery issue is real.",3,2026-01-02,Pune
"Battery health seems bad, drops from eighty to twenty in hours.",3,2026-01-03,Delhi
Screen is nice but overnight the phone loses twenty percent idle battery.,5,2026-01-04,Pune
great product highly recommend five stars,3,2026-01-05,Mumbai
Taste mast hai but box thoda crush ho gaya tha,3,2026-01-06,Delhi
"Battery drains in half day even on wifi, very disappointing.",5,2026-01-07,Delhi
"Battery drains in half day even on wifi, very disappointing.",3,2026-01-08,Mumbai
camera accha hai lekin price thoda zyada hai,4,2026-01-09,Mumbai
